# AWS EC2 instance-type catalogue — node capacity source for synthkit.
# captured: ec2-instance-selector -o table-wide --max-results 5000 (tool v3.1.3) on 2026-06-14
# columns: instance_type,vcpu,mem_gib,arch,network,enis,ipv4_per_eni
a1.2xlarge,8,16,arm64,Up to 10 Gigabit,4,15
a1.4xlarge,16,32,arm64,Up to 10 Gigabit,8,30
a1.large,2,4,arm64,Up to 10 Gigabit,3,10
a1.medium,1,2,arm64,Up to 10 Gigabit,2,4
a1.metal,16,32,arm64,Up to 10 Gigabit,8,30
a1.xlarge,4,8,arm64,Up to 10 Gigabit,4,15
c1.medium,2,1.69922,"i386, x86_64",Moderate,2,6
c1.xlarge,8,7,x86_64,High,4,15
c3.2xlarge,8,15,x86_64,High,4,15
c3.4xlarge,16,30,x86_64,High,8,30
c3.8xlarge,32,60,x86_64,10 Gigabit,8,30
c3.large,2,3.75,"i386, x86_64",Moderate,3,10
c3.xlarge,4,7.5,x86_64,Moderate,4,15
c4.2xlarge,8,15,x86_64,High,4,15
c4.4xlarge,16,30,x86_64,High,8,30
c4.8xlarge,36,60,x86_64,10 Gigabit,8,30
c4.large,2,3.75,x86_64,Moderate,3,10
c4.xlarge,4,7.5,x86_64,High,4,15
c5.12xlarge,48,96,x86_64,12 Gigabit,8,30
c5.18xlarge,72,144,x86_64,25 Gigabit,15,50
c5.24xlarge,96,192,x86_64,25 Gigabit,15,50
c5.2xlarge,8,16,x86_64,Up to 10 Gigabit,4,15
c5.4xlarge,16,32,x86_64,Up to 10 Gigabit,8,30
c5.9xlarge,36,72,x86_64,12 Gigabit,8,30
c5.large,2,4,x86_64,Up to 10 Gigabit,3,10
c5.metal,96,192,x86_64,25 Gigabit,15,50
c5.xlarge,4,8,x86_64,Up to 10 Gigabit,4,15
c5a.12xlarge,48,96,x86_64,12 Gigabit,8,30
c5a.16xlarge,64,128,x86_64,20 Gigabit,15,50
c5a.24xlarge,96,192,x86_64,20 Gigabit,15,50
c5a.2xlarge,8,16,x86_64,Up to 10 Gigabit,4,15
c5a.4xlarge,16,32,x86_64,Up to 10 Gigabit,8,30
c5a.8xlarge,32,64,x86_64,10 Gigabit,8,30
c5a.large,2,4,x86_64,Up to 10 Gigabit,3,10
c5a.xlarge,4,8,x86_64,Up to 10 Gigabit,4,15
c5ad.12xlarge,48,96,x86_64,12 Gigabit,8,30
c5ad.16xlarge,64,128,x86_64,20 Gigabit,15,50
c5ad.24xlarge,96,192,x86_64,20 Gigabit,15,50
c5ad.2xlarge,8,16,x86_64,Up to 10 Gigabit,4,15
c5ad.4xlarge,16,32,x86_64,Up to 10 Gigabit,8,30
c5ad.8xlarge,32,64,x86_64,10 Gigabit,8,30
c5ad.large,2,4,x86_64,Up to 10 Gigabit,3,10
c5ad.xlarge,4,8,x86_64,Up to 10 Gigabit,4,15
c5d.12xlarge,48,96,x86_64,12 Gigabit,8,30
c5d.18xlarge,72,144,x86_64,25 Gigabit,15,50
c5d.24xlarge,96,192,x86_64,25 Gigabit,15,50
c5d.2xlarge,8,16,x86_64,Up to 10 Gigabit,4,15
c5d.4xlarge,16,32,x86_64,Up to 10 Gigabit,8,30
c5d.9xlarge,36,72,x86_64,12 Gigabit,8,30
c5d.large,2,4,x86_64,Up to 10 Gigabit,3,10
c5d.metal,96,192,x86_64,25 Gigabit,15,50
c5d.xlarge,4,8,x86_64,Up to 10 Gigabit,4,15
c5n.18xlarge,72,192,x86_64,100 Gigabit,15,50
c5n.2xlarge,8,21,x86_64,Up to 25 Gigabit,4,15
c5n.4xlarge,16,42,x86_64,Up to 25 Gigabit,8,30
c5n.9xlarge,36,96,x86_64,50 Gigabit,8,30
c5n.large,2,5.25,x86_64,Up to 25 Gigabit,3,10
c5n.metal,72,192,x86_64,100 Gigabit,15,50
c5n.xlarge,4,10.5,x86_64,Up to 25 Gigabit,4,15
c6a.12xlarge,48,96,x86_64,18.75 Gigabit,8,30
c6a.16xlarge,64,128,x86_64,25 Gigabit,15,50
c6a.24xlarge,96,192,x86_64,37.5 Gigabit,15,50
c6a.2xlarge,8,16,x86_64,Up to 12.5 Gigabit,4,15
c6a.32xlarge,128,256,x86_64,50 Gigabit,15,50
c6a.48xlarge,192,384,x86_64,50 Gigabit,15,50
c6a.4xlarge,16,32,x86_64,Up to 12.5 Gigabit,8,30
c6a.8xlarge,32,64,x86_64,12.5 Gigabit,8,30
c6a.large,2,4,x86_64,Up to 12.5 Gigabit,3,10
c6a.metal,192,384,x86_64,50 Gigabit,15,50
c6a.xlarge,4,8,x86_64,Up to 12.5 Gigabit,4,15
c6g.12xlarge,48,96,arm64,20 Gigabit,8,30
c6g.16xlarge,64,128,arm64,25 Gigabit,15,50
c6g.2xlarge,8,16,arm64,Up to 10 Gigabit,4,15
c6g.4xlarge,16,32,arm64,Up to 10 Gigabit,8,30
c6g.8xlarge,32,64,arm64,12 Gigabit,8,30
c6g.large,2,4,arm64,Up to 10 Gigabit,3,10
c6g.medium,1,2,arm64,Up to 10 Gigabit,2,4
c6g.metal,64,128,arm64,25 Gigabit,15,50
c6g.xlarge,4,8,arm64,Up to 10 Gigabit,4,15
c6gd.12xlarge,48,96,arm64,20 Gigabit,8,30
c6gd.16xlarge,64,128,arm64,25 Gigabit,15,50
c6gd.2xlarge,8,16,arm64,Up to 10 Gigabit,4,15
c6gd.4xlarge,16,32,arm64,Up to 10 Gigabit,8,30
c6gd.8xlarge,32,64,arm64,12 Gigabit,8,30
c6gd.large,2,4,arm64,Up to 10 Gigabit,3,10
c6gd.medium,1,2,arm64,Up to 10 Gigabit,2,4
c6gd.metal,64,128,arm64,25 Gigabit,15,50
c6gd.xlarge,4,8,arm64,Up to 10 Gigabit,4,15
c6gn.12xlarge,48,96,arm64,75 Gigabit,8,30
c6gn.16xlarge,64,128,arm64,100 Gigabit,15,50
c6gn.2xlarge,8,16,arm64,Up to 25 Gigabit,4,15
c6gn.4xlarge,16,32,arm64,25 Gigabit,8,30
c6gn.8xlarge,32,64,arm64,50 Gigabit,8,30
c6gn.large,2,4,arm64,Up to 25 Gigabit,3,10
c6gn.medium,1,2,arm64,Up to 16 Gigabit,2,4
c6gn.xlarge,4,8,arm64,Up to 25 Gigabit,4,15
